Date,Tweet,City,Country
Tue Mar 27 18:03:59 +0000 2018,RT @TragicAllyHere: Puke purgatory: a term for when one person in your family has had a stomach flu and you’re waiting to see if anyone els…,none,none
Tue Mar 27 18:04:04 +0000 2018,"@MSAnsari8o Fever flu stomach ache,
Heartache bs",none,none
Tue Mar 27 18:04:23 +0000 2018,Flu.. this is me right now  ,Foz do Iguaçu,BR
Tue Mar 27 18:04:36 +0000 2018,"Have you had the Chemtrail Flu Yet.
Pilots, Doctors, &amp; Scientists Tell The Truth About Chemtrails/Geo-Engineering  via @WorldTruthTV",none,none
Tue Mar 27 18:04:44 +0000 2018,RT @kstreet111: Flu Deaths Are the Latest Example of People Dying In America Simply Because They Can't Afford Medicine ,none,none
Tue Mar 27 18:04:46 +0000 2018,9 countries have boycotted foiegras re bird flu #banfoiegras @Conservatives,none,none
Tue Mar 27 18:04:49 +0000 2018,"RT @Jandalize: That's not love in the air, it's the flu.",none,none
Tue Mar 27 18:05:14 +0000 2018,@LCHFDiabetic @shashiiyengar Too much caffeine or other diuretics can be an issue.  I'm well past keto flu but if I don't get enough sodium I'll get a flutter in my heart.  Not a good feeling but easily/rapidly fixed with a few grams of sodium.,none,none
Tue Mar 27 18:05:15 +0000 2018,O fole  ,none,none
Tue Mar 27 18:05:28 +0000 2018,"RT @grooovyyt: If u guys ever wanna lose 15 pounds, just get the stomach flu",none,none
Tue Mar 27 18:05:31 +0000 2018,Draymond Green is doubtful tonight (flu-like symptoms),none,none
Tue Mar 27 18:05:36 +0000 2018,Draymond Green is doubtful because of flu like symptoms/throat infection,none,none
Tue Mar 27 18:05:43 +0000 2018,Flu season isn't over yet!  Ck out this guide to managing household germs from @seventhgen. #generationgood ,none,none
Tue Mar 27 18:05:52 +0000 2018,Draymond Green (flu-like symptoms) is doubtful for tonight. And Omri Casspi is out.,none,none
Tue Mar 27 18:05:57 +0000 2018,RT @CDCFlu: #FluFact: Did you know #flu viruses are named in part based on where and when they are originally collected? Learn more: ,none,none
Tue Mar 27 18:05:59 +0000 2018,"RT @IndieVideoGames: Play Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!
 #g…",none,none
Tue Mar 27 18:06:00 +0000 2018,"RT @IndieVideoGames: Play Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!
 #g…",none,none
Tue Mar 27 18:06:07 +0000 2018,Draymond Green (flu like symptoms) downgraded to doubtful for #Warriors tonight vs. Pacers,none,none
Tue Mar 27 18:06:11 +0000 2018,RT @melissarohlin: Draymond Green (flu-like symptoms) is doubtful for tonight. And Omri Casspi is out.,none,none
Tue Mar 27 18:06:14 +0000 2018,Draymond Green is doubtful with flu-like symptoms and Omri Casspi (ankle) is out.,Oakland,US
Tue Mar 27 18:06:16 +0000 2018,@NdiSandra Was it the flu bug,none,none
Tue Mar 27 18:06:16 +0000 2018,W2 Home and E2 Home - flu outbreak is over! Resume normal activities and keep being cautious about staying away if you have flu or respiratory symptoms. Don't bring the flu to our seniors! Wash your hands!,none,none
Tue Mar 27 18:06:21 +0000 2018,RT @MarkG_Medina: Draymond Green is doubtful because of flu like symptoms/throat infection,none,none
Tue Mar 27 18:06:23 +0000 2018,"RT @CDCFlu: Overall, H3N2 flu viruses have predominated this season, but latest #FluView shows influenza B viruses are now more common than…",none,none
Tue Mar 27 18:06:26 +0000 2018,"RT @WGNNews: Second wave of flu may be on the way, CDC warns ",none,none
Tue Mar 27 18:06:27 +0000 2018,@UKCopHumour @TheJobsFooked Remember that man flu is 100% fatal 0% of the time. Apparently the best man flu vaccine is coffee and bakery goods.,none,none
Tue Mar 27 18:06:37 +0000 2018,"RT @epicpeople_org: **EPIC2018 DEADLINE EXTENDED!** You were busy, you had the flu...well now you have another weekend to submit! Don't mis…",none,none
Tue Mar 27 18:06:47 +0000 2018,Actively ignoring this attempting to rise flu ,none,none
Tue Mar 27 18:06:49 +0000 2018,Flu season isn't over yet!  Ck out this guide to managing household germs from @seventhgen. #generationgood ,none,none
Tue Mar 27 18:06:51 +0000 2018,"RT @CatsProtection: Stormzy arrived very ill with cat flu. Left untreated, this condition can kill. Please will you give life-saving care t…",none,none
Tue Mar 27 18:07:00 +0000 2018,HELP. MY MOM THINKS SHE HAS THE FLU. IF ANYONE IS WILLING TO TAKE ME I NEED A NEW HONE FOR LIKE THREE WEEKS. PLEASE IM BEING SERIOUS IM NOT ABOUT TO CATCH THE FLU. HELP ME.,none,none
Tue Mar 27 18:07:01 +0000 2018,"@AndyatDiscovery Cheers Andy,  been struggling with running lately after a couple of weeks with flu... 6 weeks to go though so should be fine by then. Good luck to you too!",none,none
Tue Mar 27 18:07:11 +0000 2018,RT @SamLandsberger: This is NOT sugar. Bancroft stitched up here. Understand it is chewing gum. Aussies use spoons to serve chewie and nuts…,none,none
Tue Mar 27 18:07:11 +0000 2018,"Golden St F Draymond Green (flu) is probable, F Keven Durant (ribs) &amp; F Omri Casspi (ankle) are doubtful tonight versus Indiana.",none,none
Tue Mar 27 18:07:12 +0000 2018,"RT @thatsbuckaroo2u: @TheView @MeghanMcCain She had the ""I f#cked up flu""
If she was there they'd have to address her comments on David Hogg",none,none
Tue Mar 27 18:07:13 +0000 2018,"RT @CatsProtection: Stormzy arrived very ill with cat flu. Left untreated, this condition can kill. Please will you give life-saving care t…",none,none
Tue Mar 27 18:07:15 +0000 2018,"Try Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!
 #gamedev #indiedev #indiegames #indiegame #videogame #indiegamedev  72",none,none
Tue Mar 27 18:07:15 +0000 2018,"RT @IndieVideoGames: Try Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!
 #ga…",none,none
Tue Mar 27 18:07:25 +0000 2018,RT @RSPCASheffield: Sahara and Savannah are now ready to find a new home.  These little ladies came to us at six weeks of age with awful ca…,none,none
Tue Mar 27 18:07:33 +0000 2018,RT @arvindvarchaswi: Garlic has powerful anti-viral properties.  #Ayurveda has known this for centuries. Many people who use garlic on a re…,none,none
Tue Mar 27 18:07:36 +0000 2018,RT melissarohlin: Draymond Green (flu-like symptoms) is doubtful for tonight. And Omri Casspi is out. #DraftKings #FanDuel #NBA #DFS #ProBallMetrics,none,none
Tue Mar 27 18:07:48 +0000 2018,RT @KING5Seattle: CDC says 2nd wave of flu virus B has started  ,none,none
Tue Mar 27 18:07:56 +0000 2018,RT @CaliVaxChoice: CDC Scandal: Committee that Withdrew Recommendation for Nasal Flu Vaccine Now Recommends it to Experiment on American Pu…,none,none
Tue Mar 27 18:08:08 +0000 2018,@WineLobster @CapeWinemakersG Enjoy ! Just got back from Europe and dying from the flu. Wish I could have been there!,Jeffreys Bay,ZA
Tue Mar 27 18:08:12 +0000 2018,Oh man ,Cincinnati,US
Tue Mar 27 18:08:14 +0000 2018,"RT @Amy_Baran: If anyone has a good flu I can have before spring break lmk I’m trying to lose a lil weight. Looking for a stomach flu, not…",none,none
Tue Mar 27 18:08:15 +0000 2018,Am I Contagious? Cold and flu season is hanging on.... ,none,none
Tue Mar 27 18:08:19 +0000 2018,"Draymond Green (flu like symptoms) downgraded to doubtful for #Warriors tonight vs. Pacers. 

Omri Casspi (sprained right ankle) is out.",none,none
Tue Mar 27 18:08:22 +0000 2018,"To get flu shot or not? I am so over my cold but my students are either sniffling, hacking up a storm or more sniffling! And I'm sneezing like crazy!",none,none
Tue Mar 27 18:08:28 +0000 2018,"Second wave of flu may be on the way, CDC warns ",none,none
Tue Mar 27 18:08:35 +0000 2018,"RT @thatsbuckaroo2u: @TheView @MeghanMcCain She had the ""I f#cked up flu""
If she was there they'd have to address her comments on David Hogg",none,none
Tue Mar 27 18:08:38 +0000 2018,"RT @M9Dblech: O my God
Marco @ghostAnon1983 has also been infected with #chicken flu and is on his deathbed now 

We play with you 

#N…",none,none
Tue Mar 27 18:08:50 +0000 2018,RT @Mugnificent: Clearly this guy has never sat in a taxi and felt his tummy make that dios rumble ,none,none
Tue Mar 27 18:09:00 +0000 2018,"RT @CatsProtection: Stormzy arrived very ill with cat flu. Left untreated, this condition can kill. Please will you give life-saving care t…",none,none
Tue Mar 27 18:09:05 +0000 2018,I think Zeedan goes crazy after Rana's flu.,none,none
Tue Mar 27 18:09:06 +0000 2018,"RT @DavidKe11154471: This first appeared in Apache Junction, AZ years ago. ",none,none
Tue Mar 27 18:09:09 +0000 2018,Flu season isn't over yet!  Ck out this guide to managing household germs from @seventhgen. #generationgood ,none,none
Tue Mar 27 18:09:11 +0000 2018,Draymond not here and that's because he still has flu-like symptoms and is now doubtful (was probable). Casspi still out. ,Rakuten Performance Center,US
